Entity,Year,Primary adjusted enrolment ratio (Lee-Lee (2016)),Secondary adjusted enrolment ratio (Lee-Lee (2016)),Tertiary adjusted enrolment ratio (Lee-Lee (2016)),Share of no schooling (Lee-Lee (2016)),Share of primary schooling (Lee-Lee (2016)),Share of secondary schooling (Lee-Lee (2016)),Share of tertiary schooling (Lee-Lee (2016)),Total years of schooling (Lee-Lee (2016)),Years of primary schooling (Lee-Lee (2016)),Years of secondary schooling (Lee-Lee (2016)),Years of tertiary schooling (Lee-Lee (2016)),Male primary adjusted enrolment (Lee-Lee (2016)),Male secondary adjusted enrolment (Lee-Lee (2016)),Male tertiary adjusted enrolment (Lee-Lee (2016)),Female to male years schooling (Lee-Lee (2016)),Regional female to male years schooling (Lee-Lee (2016))
Belize,1935,92.1,,,,,,7.9,4.91,,,,,,,,
Belize,1940,100,,,,,,8.4,5.3,,,,,,,,
Belize,1945,100,,,,,,8.9,5.65,,,,,,,,
Belize,1950,100,,,,,,9.2,5.76,,,,,,,,
Belize,1955,100,,,,,,9.6,5.91,,,,,,,,
Belize,1960,100,,,,,,10.6,6.19,,,,,,,,
Belize,1965,100,,,,,,6.3,6.19,,,,,,,,
Belize,1970,100,,,,,,1.1,6.06,,,,,,,,
Belize,1975,100,,,,,,1.5,6.29,,,,,,,,
Belize,1980,100,,,,,,1.7,6.16,,,,,,,,
Belize,1985,100,,,,,,4.3,6.4,,,,,,,,
Belize,1990,100,,,,,,6.8,7.15,,,,,,,,
Belize,1995,99,,,,,,6.6,7.72,,,,,,,,
Belize,2000,100,,,,,,6.2,8.19,,,,,,,,
Belize,2005,100,,,,,,5.9,8.75,,,,,,,,
Belize,2010,100,,,,,,6.1,9.63,,,,,,,,
Benin,1820,0,,,,,,,,,,,,,,,
Benin,1825,0,,,,,,,,,,,,,,,
Benin,1830,0,,,,,,,,,,,,,,,
Benin,1835,0,,,,,,,,,,,,,,,
Benin,1840,0,,,,,,,,,,,,,,,
Benin,1845,0,,,,,,,,,,,,,,,
Benin,1850,0,,,,,,,,,,,,,,,
Benin,1855,0.1,,,,,,,,,,,,,,,
Benin,1860,0.1,,,,,,,,,,,,,,,
Benin,1865,0.1,,,,,,,,,,,,,,,
Benin,1870,0.1,,,,,,0,0.01,,,,,,,,
Benin,1875,0.2,,,,,,0,0.01,,,,,,,,
Benin,1880,0.2,,,,,,0,0.01,,,,,,,,
Benin,1885,0.3,,,,,,0,0.01,,,,,,,,
Benin,1890,0.4,,,,,,0,0.01,,,,,,,,
Benin,1895,0.5,,,,,,0,0.01,,,,,,,,
Benin,1900,0.7,,,,,,0,0.02,,,,,,,,
Benin,1905,1,,,,,,0,0.02,,,,,,,,
Benin,1910,1.3,,,,,,0,0.02,,,,,,,,
Benin,1915,1.7,,,,,,0,0.03,,,,,,,,
Benin,1920,2.2,,,,,,0,0.04,,,,,,,,
Benin,1925,2.9,,,,,,0.1,0.12,,,,,,,,
Benin,1930,3.8,,,,,,0.1,0.2,,,,,,,,
Benin,1935,5,,,,,,0.1,0.27,,,,,,,,
Benin,1940,5,,,,,,0.1,0.41,,,,,,,,
Benin,1945,8.9,,,,,,0.2,0.48,,,,,,,,
Benin,1950,12.8,,,,,,0.2,0.52,,,,,,,,
Benin,1955,16.7,,,,,,0.2,0.61,,,,,,,,
Benin,1960,20.6,,,,,,0.2,0.7,,,,,,,,
Benin,1965,26,,,,,,0.2,0.79,,,,,,,,
Benin,1970,28.2,,,,,,0.2,0.87,,,,,,,,
Benin,1975,39.2,,,,,,0.2,0.96,,,,,,,,
Benin,1980,50.2,,,,,,0.3,1.26,,,,,,,,
Benin,1985,51,,,,,,0.8,1.77,,,,,,,,
Benin,1990,45,,,,,,1,2.24,,,,,,,,
Benin,1995,53.3,,,,,,1.6,2.73,,,,,,,,
Benin,2000,64.9,,,,,,1.9,3.31,,,,,,,,
Benin,2005,82.4,,,,,,2.6,3.85,,,,,,,,
Benin,2010,100,,,,,,3.9,4.57,,,,,,,,
Bolivia,1820,0.3,,,,,,,,,,,,,,,
Bolivia,1825,0.4,,,,,,,,,,,,,,,
Bolivia,1830,0.5,,,,,,,,,,,,,,,
Bolivia,1835,0.7,,,,,,,,,,,,,,,
Bolivia,1840,0.8,,,,,,,,,,,,,,,
Bolivia,1845,1.1,,,,,,,,,,,,,,,
Bolivia,1850,1.3,,,,,,,,,,,,,,,
Bolivia,1855,1.7,,,,,,,,,,,,,,,
Bolivia,1860,2.1,,,,,,,,,,,,,,,
Bolivia,1865,2.6,,,,,,,,,,,,,,,
Bolivia,1870,3.3,,,,,,0,0.06,,,,,,,,
Bolivia,1875,4.2,,,,,,0,0.08,,,,,,,,
Bolivia,1880,5.2,,,,,,0.1,0.1,,,,,,,,
Bolivia,1885,6.4,,,,,,0.1,0.12,,,,,,,,
Bolivia,1890,7.7,,,,,,0.1,0.15,,,,,,,,
Bolivia,1895,9.3,,,,,,0.1,0.19,,,,,,,,
Bolivia,1900,12.4,,,,,,0.2,0.24,,,,,,,,
Bolivia,1905,17.7,,,,,,0.2,0.29,,,,,,,,
Bolivia,1910,21.6,,,,,,0.2,0.37,,,,,,,,
Bolivia,1915,22,,,,,,0.2,0.47,,,,,,,,
Bolivia,1920,22.3,,,,,,0.4,0.68,,,,,,,,
Bolivia,1925,22.7,,,,,,0.6,0.86,,,,,,,,
Bolivia,1930,23.3,,,,,,0.7,1.01,,,,,,,,
Bolivia,1935,23.9,,,,,,1,1.71,,,,,,,,
Bolivia,1940,31.5,,,,,,1.2,1.91,,,,,,,,
Bolivia,1945,35.1,,,,,,1.5,2.11,,,,,,,,
Bolivia,1950,38.1,,,,,,1.9,2.44,,,,,,,,
Bolivia,1955,53.3,,,,,,2.3,2.8,,,,,,,,
Bolivia,1960,55,,,,,,2.7,3.15,,,,,,,,
Bolivia,1965,62.7,,,,,,3.5,3.7,,,,,,,,
Bolivia,1970,65.3,,,,,,4.3,4.14,,,,,,,,
Bolivia,1975,73,,,,,,5,4.8,,,,,,,,
Bolivia,1980,77,,,,,,6.7,5.76,,,,,,,,
Bolivia,1985,79,,,,,,8.4,6.7,,,,,,,,
Bolivia,1990,81,,,,,,9.8,7.63,,,,,,,,
Bolivia,1995,81,,,,,,11.8,8.09,,,,,,,,
Bolivia,2000,100,,,,,,13.7,8.73,,,,,,,,
Bolivia,2005,100,,,,,,18.6,8.77,,,,,,,,
Bolivia,2010,92.3,,,,,,21.7,8.57,,,,,,,,
Brazil,1820,0.9,,,,,,,,,,,,,,,
Brazil,1825,1.1,,,,,,,,,,,,,,,
Brazil,1830,1.4,,,,,,,,,,,,,,,
Brazil,1835,1.7,,,,,,,,,,,,,,,
Brazil,1840,2.2,,,,,,,,,,,,,,,
Brazil,1845,2.7,,,,,,,,,,,,,,,
Brazil,1850,3.4,,,,,,,,,,,,,,,
Brazil,1855,4.3,,,,,,,,,,,,,,,
Brazil,1860,5.3,,,,,,,,,,,,,,,
Brazil,1865,6.6,,,,,,,,,,,,,,,
Brazil,1870,8.2,,,,,,0,0.14,,,,,,,,
Brazil,1875,9.3,,,,,,0,0.18,,,,,,,,
Brazil,1880,9.9,,,,,,0,0.22,,,,,,,,
Brazil,1885,9.8,,,,,,0,0.26,,,,,,,,
Brazil,1890,9.6,,,,,,0,0.3,,,,,,,,
Brazil,1895,11.7,,,,,,0.1,0.33,,,,,,,,
Brazil,1900,13.7,,,,,,0.2,0.56,,,,,,,,
Brazil,1905,15.7,,,,,,0.3,0.7,,,,,,,,
Brazil,1910,17.1,,,,,,0.3,0.81,,,,,,,,
Brazil,1915,18.5,,,,,,0.4,0.94,,,,,,,,
Brazil,1920,19.9,,,,,,0.5,1.07,,,,,,,,
Brazil,1925,28.9,,,,,,0.5,1.18,,,,,,,,
Brazil,1930,29.5,,,,,,0.6,1.35,,,,,,,,
Brazil,1935,32.9,,,,,,0.6,1.51,,,,,,,,
Brazil,1940,38,,,,,,0.6,1.66,,,,,,,,
Brazil,1945,54.6,,,,,,0.7,1.8,,,,,,,,
Brazil,1950,37.8,,,,,,0.7,2.11,,,,,,,,
Brazil,1955,44.5,,,,,,0.9,2.3,,,,,,,,
Brazil,1960,76.6,,,,,,1.2,2.53,,,,,,,,
Brazil,1965,87.1,,,,,,1.5,2.82,,,,,,,,
Brazil,1970,62,,,,,,1.8,3.28,,,,,,,,
Brazil,1975,71,,,,,,3.7,2.87,,,,,,,,
Brazil,1980,81,,,,,,4.5,3.05,,,,,,,,
Brazil,1985,82,,,,,,4.9,4.12,,,,,,,,
Brazil,1990,88,,,,,,5.4,4.94,,,,,,,,
Brazil,1995,94.8,,,,,,6,5.79,,,,,,,,
Brazil,2000,100,,,,,,6.7,6.76,,,,,,,,
Brazil,2005,100,,,,,,6.6,7.67,,,,,,,,
Brazil,2010,100,,,,,,9.8,8.17,,,,,,,,
Bulgaria,1820,18.7,,,,,,,,,,,,,,,
Bulgaria,1825,20,,,,,,,,,,,,,,,
Bulgaria,1830,21.3,,,,,,,,,,,,,,,
Bulgaria,1835,22.7,,,,,,,,,,,,,,,
Bulgaria,1840,24.2,,,,,,,,,,,,,,,
Bulgaria,1845,25.7,,,,,,,,,,,,,,,
Bulgaria,1850,27.3,,,,,,,,,,,,,,,
Bulgaria,1855,28.9,,,,,,,,,,,,,,,
Bulgaria,1860,30.7,,,,,,,,,,,,,,,
Bulgaria,1865,32.4,,,,,,,,,,,,,,,
Bulgaria,1870,34.2,,,,,,0,0.91,,,,,,,,
Bulgaria,1875,36.1,,,,,,0,0.95,,,,,,,,
Bulgaria,1880,38,,,,,,0,0.99,,,,,,,,
Bulgaria,1885,39.9,,,,,,0,1.05,,,,,,,,
Bulgaria,1890,41.9,,,,,,0,1.12,,,,,,,,
Bulgaria,1895,60.6,,,,,,0.1,1.31,,,,,,,,
Bulgaria,1900,54,,,,,,0.3,1.54,,,,,,,,
Bulgaria,1905,94.7,,,,,,0.4,1.68,,,,,,,,
Bulgaria,1910,98.1,,,,,,0.7,2.05,,,,,,,,
Bulgaria,1915,89.5,,,,,,1,3.02,,,,,,,,
Bulgaria,1920,100,,,,,,1.3,3.35,,,,,,,,
Bulgaria,1925,99.8,,,,,,1.5,3.51,,,,,,,,
Bulgaria,1930,100,,,,,,1.7,3.52,,,,,,,,
Bulgaria,1935,100,,,,,,1.9,3.54,,,,,,,,
Bulgaria,1940,100,,,,,,2.1,3.78,,,,,,,,
Bulgaria,1945,100,,,,,,2.6,3.89,,,,,,,,
Bulgaria,1950,100,,,,,,2.9,3.97,,,,,,,,
Bulgaria,1955,100,,,,,,3,4.82,,,,,,,,
Bulgaria,1960,93,,,,,,4.8,5.24,,,,,,,,
Bulgaria,1965,100,,,,,,4.4,4.71,,,,,,,,
Bulgaria,1970,100,,,,,,8.6,6.54,,,,,,,,
Bulgaria,1975,96,,,,,,11,7.41,,,,,,,,
Bulgaria,1980,96,,,,,,12.9,8.15,,,,,,,,
Bulgaria,1985,97,,,,,,14.9,8.76,,,,,,,,
Bulgaria,1990,84,,,,,,14.3,8.68,,,,,,,,
Bulgaria,1995,92.2,,,,,,16.8,9.31,,,,,,,,
Bulgaria,2000,100,,,,,,17.4,9.65,,,,,,,,
Bulgaria,2005,98.6,,,,,,20.8,10.61,,,,,,,,
Bulgaria,2010,100,,,,,,22.7,11.07,,,,,,,,
Cambodia,1820,0,,,,,,,,,,,,,,,
Cambodia,1825,0,,,,,,,,,,,,,,,
Cambodia,1830,0,,,,,,,,,,,,,,,
Cambodia,1835,0,,,,,,,,,,,,,,,
Cambodia,1840,0,,,,,,,,,,,,,,,
Cambodia,1845,0,,,,,,,,,,,,,,,
Cambodia,1850,0,,,,,,,,,,,,,,,
Cambodia,1855,0,,,,,,,,,,,,,,,
Cambodia,1860,0,,,,,,,,,,,,,,,
Cambodia,1865,0,,,,,,,,,,,,,,,
Cambodia,1870,0,,,,,,0,0.01,,,,,,,,
Cambodia,1875,0,,,,,,0,0.01,,,,,,,,
Cambodia,1880,0,,,,,,0,0.01,,,,,,,,
Cambodia,1885,0,,,,,,0,0.01,,,,,,,,
Cambodia,1890,0.1,,,,,,0,0.01,,,,,,,,
Cambodia,1895,0.1,,,,,,0,0.01,,,,,,,,
Cambodia,1900,0.2,,,,,,0,0.01,,,,,,,,
Cambodia,1905,0.2,,,,,,0,0.01,,,,,,,,
Cambodia,1910,0.4,,,,,,0,0.01,,,,,,,,
Cambodia,1915,0.6,,,,,,0,0.01,,,,,,,,
Cambodia,1920,1,,,,,,0,0.02,,,,,,,,
Cambodia,1925,1.5,,,,,,0,0.02,,,,,,,,
Cambodia,1930,2.3,,,,,,0,0.03,,,,,,,,
Cambodia,1935,7.9,,,,,,0,0.04,,,,,,,,
Cambodia,1940,9.4,,,,,,0,0.07,,,,,,,,
Cambodia,1945,13,,,,,,0,0.29,,,,,,,,
Cambodia,1950,21.2,,,,,,0,0.44,,,,,,,,
Cambodia,1955,51.9,,,,,,0,0.67,,,,,,,,
Cambodia,1960,54.2,,,,,,0.1,1.23,,,,,,,,
Cambodia,1965,56.5,,,,,,0.1,1.53,,,,,,,,
Cambodia,1970,58.9,,,,,,0.2,1.91,,,,,,,,
Cambodia,1975,61.2,,,,,,0.2,2.31,,,,,,,,
Cambodia,1980,63.5,,,,,,0.3,2.66,,,,,,,,
Cambodia,1985,65.9,,,,,,0.3,2.89,,,,,,,,
Cambodia,1990,68.2,,,,,,0.4,3.2,,,,,,,,
Cambodia,1995,74.3,,,,,,0.4,3.41,,,,,,,,
Cambodia,2000,80.3,,,,,,0.4,3.64,,,,,,,,
Cambodia,2005,100,,,,,,1.6,4.26,,,,,,,,
Cambodia,2010,100,,,,,,2.7,4.94,,,,,,,,
Cameroon,1820,0,,,,,,,,,,,,,,,
Cameroon,1825,0,,,,,,,,,,,,,,,
Cameroon,1830,0.1,,,,,,,,,,,,,,,
Cameroon,1835,0.1,,,,,,,,,,,,,,,
Cameroon,1840,0.1,,,,,,,,,,,,,,,
Cameroon,1845,0.1,,,,,,,,,,,,,,,
Cameroon,1850,0.2,,,,,,,,,,,,,,,
Cameroon,1855,0.2,,,,,,,,,,,,,,,
Cameroon,1860,0.3,,,,,,,,,,,,,,,
Cameroon,1865,0.3,,,,,,,,,,,,,,,
Cameroon,1870,0.4,,,,,,0,0.01,,,,,,,,
Cameroon,1875,0.6,,,,,,0,0.01,,,,,,,,
Cameroon,1880,0.7,,,,,,0,0.01,,,,,,,,
Cameroon,1885,2.5,,,,,,0,0.02,,,,,,,,
Cameroon,1890,4.2,,,,,,0,0.02,,,,,,,,
Cameroon,1895,2.6,,,,,,0,0.03,,,,,,,,
Cameroon,1900,1,,,,,,0,0.05,,,,,,,,
Cameroon,1905,2,,,,,,0,0.06,,,,,,,,
Cameroon,1910,3,,,,,,0,0.07,,,,,,,,
Cameroon,1915,3,,,,,,0,0.08,,,,,,,,
Cameroon,1920,3.1,,,,,,0,0.11,,,,,,,,
Cameroon,1925,4,,,,,,0,0.16,,,,,,,,
Cameroon,1930,4.8,,,,,,0,0.2,,,,,,,,
Cameroon,1935,11,,,,,,0,0.29,,,,,,,,
Cameroon,1940,17.1,,,,,,0.1,0.37,,,,,,,,
Cameroon,1945,25.7,,,,,,0.1,0.46,,,,,,,,
Cameroon,1950,30.6,,,,,,0.1,0.72,,,,,,,,
Cameroon,1955,45.2,,,,,,0.1,0.92,,,,,,,,
Cameroon,1960,44.3,,,,,,0.1,1.12,,,,,,,,
Cameroon,1965,64,,,,,,0.2,1.51,,,,,,,,
Cameroon,1970,64,,,,,,0.3,1.92,,,,,,,,
Cameroon,1975,69,,,,,,0.3,2.58,,,,,,,,
Cameroon,1980,75.4,,,,,,0.4,3.25,,,,,,,,
Cameroon,1985,79,,,,,,0.5,3.94,,,,,,,,
Cameroon,1990,76,,,,,,0.9,4.65,,,,,,,,
Cameroon,1995,62.5,,,,,,1.3,5.3,,,,,,,,
Cameroon,2000,60.9,,,,,,1.6,5.76,,,,,,,,
Cameroon,2005,74,,,,,,2.3,6.06,,,,,,,,
Cameroon,2010,92.1,,,,,,3.2,6.41,,,,,,,,
Canada,1820,56.8,,,,,,,,,,,,,,,
Canada,1825,59.5,,,,,,,,,,,,,,,
Canada,1830,62.2,,,,,,,,,,,,,,,
Canada,1835,64.8,,,,,,,,,,,,,,,
Canada,1840,67.3,,,,,,,,,,,,,,,
Canada,1845,69.7,,,,,,,,,,,,,,,
Canada,1850,72,,,,,,,,,,,,,,,
Canada,1855,74.2,,,,,,,,,,,,,,,
Canada,1860,76.3,,,,,,,,,,,,,,,
Canada,1865,78.3,,,,,,,,,,,,,,,
Canada,1870,81.9,,,,,,0,2.72,,,,,,,,
Canada,1875,84.6,,,,,,0,2.85,,,,,,,,
Canada,1880,83.6,,,,,,0,2.99,,,,,,,,
Canada,1885,87.3,,,,,,0.3,3.1,,,,,,,,
Canada,1890,90.5,,,,,,0.5,3.18,,,,,,,,
Canada,1895,92.4,,,,,,0.7,3.35,,,,,,,,
Canada,1900,95.8,,,,,,2.1,3.99,,,,,,,,
Canada,1905,90.4,,,,,,2.8,4.34,,,,,,,,
Canada,1910,92.4,,,,,,2.8,4.83,,,,,,,,
Canada,1915,88.2,,,,,,3.6,5.18,,,,,,,,
Canada,1920,98.4,,,,,,4.3,5.54,,,,,,,,
Canada,1925,100,,,,,,5.1,5.92,,,,,,,,
Canada,1930,100,,,,,,5.9,6.35,,,,,,,,
Canada,1935,100,,,,,,6.6,6.85,,,,,,,,
Canada,1940,99,,,,,,6.9,7.14,,,,,,,,
Canada,1945,90,,,,,,8.1,7.46,,,,,,,,
Canada,1950,93.1,,,,,,8.9,7.76,,,,,,,,
Canada,1955,96.3,,,,,,11.3,8.11,,,,,,,,
Canada,1960,73,,,,,,14,8.55,,,,,,,,
Canada,1965,69,,,,,,16,8.85,,,,,,,,
Canada,1970,92,,,,,,20.2,9.47,,,,,,,,
Canada,1975,90.6,,,,,,24.6,10.02,,,,,,,,
Canada,1980,93.8,,,,,,27.8,10.49,,,,,,,,
Canada,1985,97,,,,,,19.8,10.29,,,,,,,,
Canada,1990,98,,,,,,22.6,10.71,,,,,,,,
Canada,1995,93.4,,,,,,26.4,11.11,,,,,,,,
Canada,2000,99,,,,,,28.4,11.39,,,,,,,,
Canada,2005,99.2,,,,,,42.9,12.49,,,,,,,,
Canada,2010,99.4,,,,,,46.3,12.74,,,,,,,,
Chile,1820,2.7,,,,,,,,,,,,,,,
Chile,1825,3.4,,,,,,,,,,,,,,,
Chile,1830,4.2,,,,,,,,,,,,,,,
Chile,1835,5.2,,,,,,,,,,,,,,,
Chile,1840,6.4,,,,,,,,,,,,,,,
Chile,1845,7.8,,,,,,,,,,,,,,,
Chile,1850,9.6,,,,,,,,,,,,,,,
Chile,1855,11.1,,,,,,,,,,,,,,,
Chile,1860,14.1,,,,,,,,,,,,,,,
Chile,1865,16.7,,,,,,,,,,,,,,,
Chile,1870,16.9,,,,,,0.1,0.43,,,,,,,,
Chile,1875,17.1,,,,,,0.1,0.51,,,,,,,,
Chile,1880,17.3,,,,,,0.1,0.58,,,,,,,,
Chile,1885,15.7,,,,,,0.2,0.64,,,,,,,,
Chile,1890,27.2,,,,,,0.2,0.69,,,,,,,,
Chile,1895,31.1,,,,,,0.3,0.75,,,,,,,,
Chile,1900,34.1,,,,,,0.5,1.58,,,,,,,,
Chile,1905,43.1,,,,,,0.6,1.85,,,,,,,,
Chile,1910,62.3,,,,,,0.9,2.39,,,,,,,,
Chile,1915,65.8,,,,,,1.2,2.92,,,,,,,,
Chile,1920,62,,,,,,1.4,3.43,,,,,,,,
Chile,1925,76.9,,,,,,1.7,3.86,,,,,,,,
Chile,1930,80.2,,,,,,1.8,4.08,,,,,,,,
Chile,1935,70.7,,,,,,1.9,4.31,,,,,,,,
Chile,1940,75.7,,,,,,2,4.59,,,,,,,,
Chile,1945,74.4,,,,,,2.1,4.76,,,,,,,,
Chile,1950,96,,,,,,2.2,4.91,,,,,,,,
Chile,1955,100,,,,,,2,5.04,,,,,,,,
Chile,1960,94.7,,,,,,1.9,5.23,,,,,,,,
Chile,1965,100,,,,,,2.8,5.71,,,,,,,,
Chile,1970,93,,,,,,3.9,6.18,,,,,,,,
Chile,1975,96,,,,,,6.1,6.7,,,,,,,,
Chile,1980,98.1,,,,,,7.5,7.13,,,,,,,,
Chile,1985,94.1,,,,,,9.9,7.85,,,,,,,,
Chile,1990,87,,,,,,12.3,8.58,,,,,,,,
Chile,1995,92.1,,,,,,17.4,8.92,,,,,,,,
Chile,2000,98,,,,,,21.5,9.41,,,,,,,,
Chile,2005,100,,,,,,20.3,9.96,,,,,,,,
Chile,2010,98,,,,,,16.2,10.35,,,,,,,,
China,1820,0,,,,,,,,,,,,,,,
China,1825,0,,,,,,,,,,,,,,,
China,1830,0,,,,,,,,,,,,,,,
China,1835,0,,,,,,,,,,,,,,,
China,1840,0,,,,,,,,,,,,,,,
China,1845,0,,,,,,,,,,,,,,,
China,1850,0,,,,,,,,,,,,,,,
China,1855,0,,,,,,,,,,,,,,,
China,1860,0,,,,,,,,,,,,,,,
China,1865,0,,,,,,,,,,,,,,,
China,1870,0.1,,,,,,0,0.01,,,,,,,,
China,1875,0.1,,,,,,0,0.01,,,,,,,,
China,1880,0.2,,,,,,0,0.01,,,,,,,,
China,1885,0.4,,,,,,0,0.01,,,,,,,,
China,1890,0.6,,,,,,0,0.01,,,,,,,,
China,1895,0.9,,,,,,0,0.01,,,,,,,,
China,1900,1.4,,,,,,0,0.02,,,,,,,,
China,1905,2.2,,,,,,0,0.02,,,,,,,,
China,1910,3.3,,,,,,0,0.04,,,,,,,,
China,1915,5,,,,,,0,0.06,,,,,,,,
China,1920,7.4,,,,,,0,0.08,,,,,,,,
China,1925,11.1,,,,,,0,0.16,,,,,,,,
China,1930,17.7,,,,,,0.1,0.26,,,,,,,,
China,1935,22.2,,,,,,0.1,0.36,,,,,,,,
China,1940,19.6,,,,,,0.3,1.39,,,,,,,,
China,1945,31,,,,,,0.3,1.53,,,,,,,,
China,1950,32.9,,,,,,0.4,1.79,,,,,,,,
China,1955,56.4,,,,,,0.6,2.18,,,,,,,,
China,1960,68.2,,,,,,0.8,2.8,,,,,,,,
China,1965,68.2,,,,,,0.9,3.4,,,,,,,,
China,1970,68.2,,,,,,0.9,4.16,,,,,,,,
China,1975,96.5,,,,,,1,4.83,,,,,,,,
China,1980,80.4,,,,,,1,5.74,,,,,,,,
China,1985,95,,,,,,1.5,6.16,,,,,,,,
China,1990,98,,,,,,2,6.45,,,,,,,,
China,1995,99,,,,,,3.5,7.17,,,,,,,,
China,2000,100,,,,,,4.9,7.79,,,,,,,,
China,2005,100,,,,,,5.1,8.02,,,,,,,,
China,2010,100,,,,,,4.8,8.25,,,,,,,,
Colombia,1820,4.6,,,,,,,,,,,,,,,
Colombia,1825,5.6,,,,,,,,,,,,,,,
Colombia,1830,6.7,,,,,,,,,,,,,,,
Colombia,1835,7.9,,,,,,,,,,,,,,,
Colombia,1840,10.2,,,,,,,,,,,,,,,
Colombia,1845,8.8,,,,,,,,,,,,,,,
Colombia,1850,8.6,,,,,,,,,,,,,,,
Colombia,1855,10.9,,,,,,,,,,,,,,,
Colombia,1860,13.2,,,,,,,,,,,,,,,
Colombia,1865,15.5,,,,,,,,,,,,,,,
Colombia,1870,17.8,,,,,,0.1,0.32,,,,,,,,
Colombia,1875,20,,,,,,0.1,0.37,,,,,,,,
Colombia,1880,17.4,,,,,,0.1,0.42,,,,,,,,
Colombia,1885,15.1,,,,,,0.1,0.48,,,,,,,,
Colombia,1890,17.4,,,,,,0.2,0.51,,,,,,,,
Colombia,1895,19.5,,,,,,0.2,0.52,,,,,,,,
Colombia,1900,21.7,,,,,,0.3,0.85,,,,,,,,
Colombia,1905,23.9,,,,,,0.3,1,,,,,,,,
Colombia,1910,26.1,,,,,,0.3,1.44,,,,,,,,
Colombia,1915,38.2,,,,,,0.4,1.62,,,,,,,,
Colombia,1920,39.1,,,,,,0.4,1.79,,,,,,,,
Colombia,1925,37.6,,,,,,0.5,2.01,,,,,,,,
Colombia,1930,36.1,,,,,,0.6,2.17,,,,,,,,
Colombia,1935,39.4,,,,,,0.6,2.32,,,,,,,,
Colombia,1940,41.1,,,,,,0.6,2.4,,,,,,,,
Colombia,1945,39.6,,,,,,0.7,2.53,,,,,,,,
Colombia,1950,43.1,,,,,,0.8,2.38,,,,,,,,
Colombia,1955,55.7,,,,,,0.9,2.73,,,,,,,,
Colombia,1960,59,,,,,,1.3,3.1,,,,,,,,
Colombia,1965,64,,,,,,1.6,3.47,,,,,,,,
Colombia,1970,69.2,,,,,,2.3,3.98,,,,,,,,
Colombia,1975,75.6,,,,,,2.9,4.43,,,,,,,,
Colombia,1980,82.1,,,,,,4.7,4.99,,,,,,,,
Colombia,1985,75,,,,,,6.4,5.63,,,,,,,,
Colombia,1990,74,,,,,,8.6,6.16,,,,,,,,
Colombia,1995,85,,,,,,10,6.68,,,,,,,,
Colombia,2000,100,,,,,,10.1,7.12,,,,,,,,
Colombia,2005,100,,,,,,8.4,7.56,,,,,,,,
Colombia,2010,100,,,,,,22.3,9.35,,,,,,,,
Costa Rica,1820,2.1,,,,,,,,,,,,,,,
Costa Rica,1825,2.7,,,,,,,,,,,,,,,
Costa Rica,1830,3.4,,,,,,,,,,,,,,,
Costa Rica,1835,4.2,,,,,,,,,,,,,,,
Costa Rica,1840,5.3,,,,,,,,,,,,,,,
Costa Rica,1845,6.7,,,,,,,,,,,,,,,
Costa Rica,1850,8.4,,,,,,,,,,,,,,,
Costa Rica,1855,10.5,,,,,,,,,,,,,,,
Costa Rica,1860,13,,,,,,,,,,,,,,,
Costa Rica,1865,16,,,,,,,,,,,,,,,
Costa Rica,1870,19.5,,,,,,0,0.32,,,,,,,,
Costa Rica,1875,23.6,,,,,,0,0.4,,,,,,,,
Costa Rica,1880,28.3,,,,,,0,0.48,,,,,,,,
Costa Rica,1885,33.5,,,,,,0,0.59,,,,,,,,
Costa Rica,1890,39.1,,,,,,0,0.72,,,,,,,,
Costa Rica,1895,45,,,,,,0,0.87,,,,,,,,
Costa Rica,1900,34.8,,,,,,0.4,1.56,,,,,,,,
Costa Rica,1905,35.3,,,,,,0.6,1.89,,,,,,,,
Costa Rica,1910,40.6,,,,,,0.5,2.21,,,,,,,,
Costa Rica,1915,49,,,,,,0.7,2.45,,,,,,,,
Costa Rica,1920,45.5,,,,,,0.8,2.71,,,,,,,,
Costa Rica,1925,46.8,,,,,,0.9,2.99,,,,,,,,
Costa Rica,1930,55,,,,,,0.9,3.13,,,,,,,,
Costa Rica,1935,61.8,,,,,,1.1,3.28,,,,,,,,
Costa Rica,1940,63.3,,,,,,1.3,3.43,,,,,,,,
Costa Rica,1945,70,,,,,,1.5,3.62,,,,,,,,
Costa Rica,1950,68.5,,,,,,1.6,3.6,,,,,,,,
Costa Rica,1955,88.1,,,,,,2,3.82,,,,,,,,
Costa Rica,1960,81,,,,,,2.4,3.96,,,,,,,,
Costa Rica,1965,89,,,,,,2.8,4.22,,,,,,,,
Costa Rica,1970,89,,,,,,2.8,4.03,,,,,,,,
Costa Rica,1975,92,,,,,,5.7,5.3,,,,,,,,
Costa Rica,1980,90,,,,,,8.5,6.26,,,,,,,,
Costa Rica,1985,87,,,,,,10.3,6.88,,,,,,,,
Costa Rica,1990,87,,,,,,12.4,7.28,,,,,,,,
Costa Rica,1995,95.2,,,,,,14.4,7.61,,,,,,,,
Costa Rica,2000,100,,,,,,14.3,7.96,,,,,,,,
Costa Rica,2005,100,,,,,,15.4,8.52,,,,,,,,
Costa Rica,2010,100,,,,,,17.1,8.43,,,,,,,,
Cote d'Ivoire,1820,0,,,,,,,,,,,,,,,
Cote d'Ivoire,1825,0,,,,,,,,,,,,,,,
