Entity,Year,"Age-standardized cancer death rate attributed to tobacco (per 100,000)",Age-standardized share of cancer deaths attributed to tobacco
Oman,2000,,4.5
Oman,2005,,4.9
Oman,2006,,5
Oman,2010,,7
Oman,2016,,11
Pakistan,1990,,14.4
Pakistan,1995,,16.1
Pakistan,2000,,19.2
Pakistan,2005,,18.7
Pakistan,2006,,18.6
Pakistan,2010,,17.8
Pakistan,2016,,18
Palestine,1990,,16.8
Palestine,1995,,17.3
Palestine,2000,,19.1
Palestine,2005,,20.1
Palestine,2006,,20.4
Palestine,2010,,22.2
Palestine,2016,,23.7
Panama,1990,,14.3
Panama,1995,,14.3
Panama,2000,,11.7
Panama,2005,,11.2
Panama,2006,,10.9
Panama,2010,,9.5
Panama,2016,,8.6
Papua New Guinea,1990,,19.4
Papua New Guinea,1995,,19.8
Papua New Guinea,2000,,19.5
Papua New Guinea,2005,,19.4
Papua New Guinea,2006,,19.3
Papua New Guinea,2010,,19.1
Papua New Guinea,2016,,19.5
Paraguay,1990,,11.1
Paraguay,1995,,12.4
Paraguay,2000,,15.5
Paraguay,2005,,16.5
Paraguay,2006,,16.5
Paraguay,2010,,16.9
Paraguay,2016,,16.9
Peru,1990,,12.8
Peru,1995,,14.2
Peru,2000,,10
Peru,2005,,8.4
Peru,2006,,8.4
Peru,2010,,8.5
Peru,2016,,7.7
Philippines,1990,,21.3
Philippines,1995,,25
Philippines,2000,,25.9
Philippines,2005,,25.1
Philippines,2006,,24.5
Philippines,2010,,22.4
Philippines,2016,,22.3
Poland,1990,,35.6
Poland,1995,,36.1
Poland,2000,,36.2
Poland,2005,,36.2
Poland,2006,,36.2
Poland,2010,,36
Poland,2016,,33.3
Portugal,1990,,19
Portugal,1995,,20.5
Portugal,2000,,21.1
Portugal,2005,,22.9
Portugal,2006,,23.1
Portugal,2010,,23
Portugal,2016,,21.2
Puerto Rico,1990,,17.5
Puerto Rico,1995,,17.7
Puerto Rico,2000,,15.2
Puerto Rico,2005,,13.9
Puerto Rico,2006,,14
Puerto Rico,2010,,14.1
Puerto Rico,2016,,13.1
Qatar,1990,,14.6
Qatar,1995,,17.4
Qatar,2000,,13.1
Qatar,2005,,15.5
Qatar,2006,,15.5
Qatar,2010,,16.7
Qatar,2016,,15.9
Romania,1990,,25.8
Romania,1995,,28.8
Romania,2000,,27.9
Romania,2005,,29.2
Romania,2006,,29.4
Romania,2010,,31.2
Romania,2016,,29.4
Russia,1990,,32.6
Russia,1995,,34.3
Russia,2000,,30.5
Russia,2005,,29.1
Russia,2006,,28
Russia,2010,,26.4
Russia,2016,,24.4
Rwanda,1990,,4.6
Rwanda,1995,,6.9
Rwanda,2000,,4.7
Rwanda,2005,,3.2
Rwanda,2006,,3.3
Rwanda,2010,,3.6
Rwanda,2016,,3.9
Saint Lucia,1990,,10.6
Saint Lucia,1995,,9.7
Saint Lucia,2000,,9.4
Saint Lucia,2005,,9.9
Saint Lucia,2006,,9.6
Saint Lucia,2010,,8
Saint Lucia,2016,,8.8
Saint Vincent and the Grenadines,1990,,8
Saint Vincent and the Grenadines,1995,,8.5
Saint Vincent and the Grenadines,2000,,8.6
Saint Vincent and the Grenadines,2005,,8
Saint Vincent and the Grenadines,2006,,8
Saint Vincent and the Grenadines,2010,,7.7
Saint Vincent and the Grenadines,2016,,8.5
Samoa,1990,,7.7
Samoa,1995,,7
Samoa,2000,,6.3
Samoa,2005,,5.9
Samoa,2006,,5.8
Samoa,2010,,5.5
Samoa,2016,,5.1
Sao Tome and Principe,1990,,12.8
Sao Tome and Principe,1995,,12.5
Sao Tome and Principe,2000,,13.6
Sao Tome and Principe,2005,,15.2
Sao Tome and Principe,2006,,15.4
Sao Tome and Principe,2010,,15.4
Sao Tome and Principe,2016,,17.3
Saudi Arabia,1990,,6.2
Saudi Arabia,1995,,6.5
Saudi Arabia,2000,,7.4
Saudi Arabia,2005,,8.5
Saudi Arabia,2006,,8.7
Saudi Arabia,2010,,9.9
Saudi Arabia,2016,,9.5
Scotland,1990,,43.7
Scotland,1995,,42.3
Scotland,2000,,40.4
Scotland,2005,,40.3
Scotland,2006,,40
Scotland,2010,,39
Scotland,2016,,37.8
Senegal,1990,,10
Senegal,1995,,8.7
Senegal,2000,,7.9
Senegal,2005,,8.4
Senegal,2006,,8.7
Senegal,2010,,9.6
Senegal,2016,,11.4
Serbia,1990,,30.5
Serbia,1995,,31.4
Serbia,2000,,32.3
Serbia,2005,,34
Serbia,2006,,34.1
Serbia,2010,,34.6
Serbia,2016,,33.1
Seychelles,1990,,19.3
Seychelles,1995,,21.6
Seychelles,2000,,19.5
Seychelles,2005,,19.5
Seychelles,2006,,19.1
Seychelles,2010,,17.5
Seychelles,2016,,15.7
Sierra Leone,1990,,6.5
Sierra Leone,1995,,6.3
Sierra Leone,2000,,6.2
Sierra Leone,2005,,7.2
Sierra Leone,2006,,7.4
Sierra Leone,2010,,8
Sierra Leone,2016,,8.6
Slovakia,1990,,33.4
Slovakia,1995,,31.6
Slovakia,2000,,30.5
Slovakia,2005,,28.7
Slovakia,2006,,28.3
Slovakia,2010,,27.5
Slovakia,2016,,25.3
Slovenia,1990,,31.1
Slovenia,1995,,31
Slovenia,2000,,30.6
Slovenia,2005,,30.3
Slovenia,2006,,30
Slovenia,2010,,28.1
Slovenia,2016,,25
Solomon Islands,1990,,21.6
Solomon Islands,1995,,22
Solomon Islands,2000,,21.9
Solomon Islands,2005,,21.6
Solomon Islands,2006,,21.7
Solomon Islands,2010,,22
Solomon Islands,2016,,22
Somalia,1990,,3
Somalia,1995,,3
Somalia,2000,,2.6
Somalia,2005,,2.5
Somalia,2006,,2.5
Somalia,2010,,2.5
Somalia,2016,,2.8
South Africa,1990,,27
South Africa,1995,,26.5
South Africa,2000,,26.5
South Africa,2005,,21.9
South Africa,2006,,21.7
South Africa,2010,,21.6
South Africa,2016,,22.1
South Asia,1990,,12.8
South Asia,1995,,12.8
South Asia,2000,,13
South Asia,2005,,12.9
South Asia,2006,,12.9
South Asia,2010,,13.1
South Asia,2016,,14.2
South Sudan,1990,,2.1
South Sudan,1995,,2.4
South Sudan,2000,,2.3
South Sudan,2005,,2.2
South Sudan,2006,,2.3
South Sudan,2010,,2.3
South Sudan,2016,,2.5
Southeast Asia,1990,,25
Southeast Asia,1995,,25.7
Southeast Asia,2000,,26.4
Southeast Asia,2005,,26.9
Southeast Asia,2006,,26.9
Southeast Asia,2010,,26.7
Southeast Asia,2016,,26.7
Southern Latin America,1990,,23.4
Southern Latin America,1995,,23
Southern Latin America,2000,,21.7
Southern Latin America,2005,,21
Southern Latin America,2006,,21
Southern Latin America,2010,,20.8
Southern Latin America,2016,,20.4
Southern Sub-Saharan Africa,1990,,24.7
Southern Sub-Saharan Africa,1995,,23.7
Southern Sub-Saharan Africa,2000,,23.7
Southern Sub-Saharan Africa,2005,,20.3
Southern Sub-Saharan Africa,2006,,20.2
Southern Sub-Saharan Africa,2010,,20
Southern Sub-Saharan Africa,2016,,20
Spain,1990,,28.3
Spain,1995,,29.3
Spain,2000,,29.3
Spain,2005,,29.6
Spain,2006,,29.5
Spain,2010,,29.1
Spain,2016,,26.4
Sri Lanka,1990,,7.3
Sri Lanka,1995,,8
Sri Lanka,2000,,8.4
Sri Lanka,2005,,9.8
Sri Lanka,2006,,10.1
Sri Lanka,2010,,10.2
Sri Lanka,2016,,8.4
Sub-Saharan Africa,1990,,7.8
Sub-Saharan Africa,1995,,7.4
Sub-Saharan Africa,2000,,7.5
Sub-Saharan Africa,2005,,7
Sub-Saharan Africa,2006,,7
Sub-Saharan Africa,2010,,7.1
Sub-Saharan Africa,2016,,7.4
Sudan,1990,,11
Sudan,1995,,10.7
Sudan,2000,,11
Sudan,2005,,11.6
Sudan,2006,,11.6
Sudan,2010,,11.2
Sudan,2016,,11.1
Suriname,1990,,11.4
Suriname,1995,,11.8
Suriname,2000,,13
Suriname,2005,,13.2
Suriname,2006,,13.3
Suriname,2010,,13.4
Suriname,2016,,13.7
Swaziland,1990,,21.4
Swaziland,1995,,21.7
Swaziland,2000,,26.2
Swaziland,2005,,26.5
Swaziland,2006,,26.3
Swaziland,2010,,26.1
Swaziland,2016,,24.3
Sweden,1990,,18.4
Sweden,1995,,17.9
Sweden,2000,,18.8
Sweden,2005,,20
Sweden,2006,,19.9
Sweden,2010,,19.5
Sweden,2016,,18.9
Switzerland,1990,,28.4
Switzerland,1995,,27.7
Switzerland,2000,,27.3
Switzerland,2005,,27
Switzerland,2006,,26.8
Switzerland,2010,,26.5
Switzerland,2016,,24.1
Syria,1990,,7.8
Syria,1995,,7.5
Syria,2000,,8.2
Syria,2005,,8
Syria,2006,,8.4
Syria,2010,,11.5
Syria,2016,,9.8
Taiwan,1990,,30.1
Taiwan,1995,,33.9
Taiwan,2000,,36.3
Taiwan,2005,,36.2
Taiwan,2006,,35.9
Taiwan,2010,,34.7
Taiwan,2016,,33.4
Tajikistan,1990,,17.9
Tajikistan,1995,,10.5
Tajikistan,2000,,7.3
Tajikistan,2005,,7.6
Tajikistan,2006,,7.3
Tajikistan,2010,,7.1
Tajikistan,2016,,6.2
Tanzania,1990,,3.8
Tanzania,1995,,3.6
Tanzania,2000,,3.5
Tanzania,2005,,3.8
Tanzania,2006,,3.9
Tanzania,2010,,4.2
Tanzania,2016,,5.1
Thailand,1990,,32.9
Thailand,1995,,32.8
Thailand,2000,,33.7
Thailand,2005,,31.9
Thailand,2006,,31.9
Thailand,2010,,31
Thailand,2016,,30.4
Timor,1990,,15.1
Timor,1995,,15.6
Timor,2000,,12.7
Timor,2005,,14.6
Timor,2006,,14.7
Timor,2010,,14.4
Timor,2016,,14.9
Togo,1990,,8.5
Togo,1995,,8.9
Togo,2000,,9.5
Togo,2005,,10
Togo,2006,,10.2
Togo,2010,,10.9
Togo,2016,,11.1
Tonga,1990,,28.5
Tonga,1995,,28.5
Tonga,2000,,28.2
Tonga,2005,,28.3
Tonga,2006,,28.2
Tonga,2010,,27.8
Tonga,2016,,27.3
Trinidad and Tobago,1990,,9.9
Trinidad and Tobago,1995,,9.5
Trinidad and Tobago,2000,,9.9
Trinidad and Tobago,2005,,9.1
Trinidad and Tobago,2006,,9.1
Trinidad and Tobago,2010,,9.3
Trinidad and Tobago,2016,,8.4
Tunisia,1990,,27.6
Tunisia,1995,,27.8
Tunisia,2000,,26.2
Tunisia,2005,,24.1
Tunisia,2006,,24.2
Tunisia,2010,,24.2
Tunisia,2016,,25.8
Turkey,1990,,36.5
Turkey,1995,,35.6
Turkey,2000,,34.6
Turkey,2005,,34.6
Turkey,2006,,34.5
Turkey,2010,,34.5
Turkey,2016,,32.3
Turkmenistan,1990,,21.3
Turkmenistan,1995,,18.9
Turkmenistan,2000,,15.1
Turkmenistan,2005,,11.4
Turkmenistan,2006,,11.2
Turkmenistan,2010,,10.9
Turkmenistan,2016,,10.2
Uganda,1990,,4.6
Uganda,1995,,4.9
Uganda,2000,,4.9
Uganda,2005,,5.4
Uganda,2006,,5.5
Uganda,2010,,5.3
Uganda,2016,,5.9
Ukraine,1990,,32.9
Ukraine,1995,,34
Ukraine,2000,,30.1
Ukraine,2005,,28.2
Ukraine,2006,,27.3
Ukraine,2010,,24
Ukraine,2016,,23.4
United Arab Emirates,1990,,12.1
United Arab Emirates,1995,,13.1
United Arab Emirates,2000,,14.3
United Arab Emirates,2005,,14.4
United Arab Emirates,2006,,15
United Arab Emirates,2010,,21.8
United Arab Emirates,2016,,18.1
United Kingdom,1990,,36.2
United Kingdom,1995,,35
United Kingdom,2000,,33.6
United Kingdom,2005,,33.1
United Kingdom,2006,,32.9
United Kingdom,2010,,32
United Kingdom,2016,,31.4
United States,1990,,39.7
United States,1995,,40.5
United States,2000,,40
United States,2005,,39.1
United States,2006,,38.6
United States,2010,,36.6
United States,2016,,36
Uruguay,1990,,30.3
Uruguay,1995,,29.6
Uruguay,2000,,27.5
Uruguay,2005,,27
Uruguay,2006,,27
Uruguay,2010,,27.3
Uruguay,2016,,27.2
Uzbekistan,1990,,23
Uzbekistan,1995,,20.4
Uzbekistan,2000,,16.5
Uzbekistan,2005,,14.2
Uzbekistan,2006,,13.8
Uzbekistan,2010,,11.3
Uzbekistan,2016,,11.2
Vanuatu,1990,,22.9
Vanuatu,1995,,23.6
Vanuatu,2000,,23.6
Vanuatu,2005,,23.2
Vanuatu,2006,,22.9
Vanuatu,2010,,22.2
Vanuatu,2016,,21.1
Venezuela,1990,,18.3
Venezuela,1995,,18.3
Venezuela,2000,,18
Venezuela,2005,,18
Venezuela,2006,,18.5
Venezuela,2010,,18.5
Venezuela,2016,,18.9
Vietnam,1990,,39.7
Vietnam,1995,,41.1
Vietnam,2000,,43.6
Vietnam,2005,,45.2
Vietnam,2006,,45.3
Vietnam,2010,,45.3
Vietnam,2016,,45.8
"Virgin Islands, U.S.",1990,,17.9
"Virgin Islands, U.S.",1995,,18.1
"Virgin Islands, U.S.",2000,,17.7
"Virgin Islands, U.S.",2005,,16.9
"Virgin Islands, U.S.",2006,,17
"Virgin Islands, U.S.",2010,,17.5
"Virgin Islands, U.S.",2016,,17.4
Wales,1990,,35
Wales,1995,,33.7
Wales,2000,,32.7
Wales,2005,,33.4
Wales,2006,,33.2
Wales,2010,,32.2
Wales,2016,,32
Western Europe,1990,,30.5
Western Europe,1995,,30.5
Western Europe,2000,,29.9
Western Europe,2005,,29.5
Western Europe,2006,,29.5
Western Europe,2010,,29.4
Western Europe,2016,,27.9
Western Sub-Saharan Africa,1990,,4.7
Western Sub-Saharan Africa,1995,,4.4
Western Sub-Saharan Africa,2000,,4.5
Western Sub-Saharan Africa,2005,,4.8
Western Sub-Saharan Africa,2006,,4.9
Western Sub-Saharan Africa,2010,,5.2
Western Sub-Saharan Africa,2016,,5.5
World,1990,,23.6
World,1995,,24
World,2000,,23.7
World,2005,,23.9
World,2006,,23.6
World,2010,,23.2
World,2016,,22.1
Yemen,1990,,11.1
Yemen,1995,,11.7
Yemen,2000,,12.4
Yemen,2005,,13.8
Yemen,2006,,13.9
Yemen,2010,,15
Yemen,2016,,15.5
Zambia,1990,,1.5
Zambia,1995,,1.7
Zambia,2000,,2.3
Zambia,2005,,3.7
Zambia,2006,,3.9
Zambia,2010,,4.6
Zambia,2016,,5.3
Zimbabwe,1990,,18.7
Zimbabwe,1995,,13.1
Zimbabwe,2000,,12.4
Zimbabwe,2005,,14.1
Zimbabwe,2006,,14.1
Zimbabwe,2010,,13.6
Zimbabwe,2016,,11.8
