Entity,Year,Cadmium (BGS (2016)),Cobalt (BGS (2016)),Diamond (BGS (2016)),Graphite (BGS (2016)),Lithium (BGS (2016)),Mercury (BGS (2016)),Platinum (BGS (2016)),Uranium (BGS (2016)),Silicon (BGS (2016))
Uzbekistan,1996,,,,,,,,1459,
Uzbekistan,1997,,,,,,,,1764,
Uzbekistan,1998,,,,,,,,2000,
Uzbekistan,1999,,,,,,,,2130,
Uzbekistan,2000,,,,,,,,2350,
Uzbekistan,2001,,,,,,,,1962,
Uzbekistan,2002,,,,,,,,1860,
Uzbekistan,2003,,,,,,,,1770,
Uzbekistan,2004,,,,,,,,2035,
Uzbekistan,2005,,,,,,,,2629,
Uzbekistan,2006,,,,,,,,2270,
Uzbekistan,2007,,,,,,,,2320,
Uzbekistan,2008,,,,,,,,2338,
Uzbekistan,2009,,,,,,,,2429,
Uzbekistan,2010,,,,,,,,2400,
Uzbekistan,2011,,,,,,,,3000,
Uzbekistan,2012,,,,,,,,3000,
Uzbekistan,2013,,,,,,,,2400,
Uzbekistan,2014,,,,,,,,2400,
Uzbekistan,2015,,,,,,,,2385,
Venezuela,1970,,,508700,,,,,,
Venezuela,1971,,,499020,,,,,,
Venezuela,1972,,,456300,,,,,,
Venezuela,1973,,,780829,,,,,,
Venezuela,1974,,,1199973,,,,,,
Venezuela,1975,,,1060000,,,,,,
Venezuela,1976,,,851000,,,,,,
Venezuela,1977,,,687115,,,,,,
Venezuela,1978,,,755869,,,,,,
Venezuela,1979,,,802646,,,,,,
Venezuela,1980,,,665721,,,,,,
Venezuela,1981,,,490426,,,,,,
Venezuela,1982,,,435272,,,,,,
Venezuela,1983,,,278915,,,,,,
Venezuela,1984,,,272922,,,,,,
Venezuela,1985,,,215272,,,,,,
Venezuela,1986,,,211731,,,,,,
Venezuela,1987,,,112812,,,,,,
Venezuela,1988,,,128405,,,,,,
Venezuela,1989,,,213264,,,,,,
Venezuela,1990,,,336976,,,,,,
Venezuela,1991,,,337022,,,,,,
Venezuela,1992,,,486935,,,,,,
Venezuela,1993,,,410750,,,,,,
Venezuela,1994,,,582522,,,,,,
Venezuela,1995,,,296116,,,,,,
Venezuela,1996,,,172016,,,,,,
Venezuela,1997,,,284208,,,,,,
Venezuela,1998,,,96811,,,,,,
Venezuela,1999,,,95144,,,,,,
Venezuela,2000,,,109597,,,,,,
Venezuela,2001,,,52804,,,,,,
Venezuela,2002,,,141463,,,,,,
Venezuela,2003,,,38489,,,,,,
Venezuela,2004,,,40036,,,,,,
Venezuela,2005,,,55154,,,,,,
Venezuela,2006,,,27598,,,,,,
Venezuela,2007,,,14502,,,,,,
Venezuela,2008,,,9381,,,,,,
Venezuela,2009,,,7730,,,,,,
Venezuela,2010,,,2099,,,,,,
Zimbabwe,1988,,,0,,,,,,
Zimbabwe,1989,,,0,,,,,,
Zimbabwe,1990,,,0,,,,,,
Zimbabwe,1991,,,0,,,,,,
Zimbabwe,1992,,,40654,,,,,,
Zimbabwe,1993,,,43850,,,,,,
Zimbabwe,1994,,,173588,,,,,,
Zimbabwe,1995,,,204416,,,,,,
Zimbabwe,1996,,,437266,,,,,,
Zimbabwe,1997,,,421307,,,,,,
Zimbabwe,1998,,,28732,,,,,,
Zimbabwe,1999,,,42578,,,,,,
Zimbabwe,2000,,,23028,,,,,,
Zimbabwe,2001,,,0,,,,,,
Zimbabwe,2002,,,0,,,,,,
Zimbabwe,2003,,,0,,,,,,
Zimbabwe,2004,,,44454,,,,,,
Zimbabwe,2005,,,243928,,,,,,
Zimbabwe,2006,,,1046025,,,,,,
Zimbabwe,2007,,,695016,,,,,,
Zimbabwe,2008,,,797198,,,,,,
Zimbabwe,2009,,,963502,,,,,,
Zimbabwe,2010,,,8435224,,,,,,
Zimbabwe,2011,,,8502648,,,,,,
Zimbabwe,2012,,,12060163,,,,,,
Zimbabwe,2013,,,10411818,,,,,,
Zimbabwe,2014,,,4771637,,,,,,
Zimbabwe,2015,,,3490881,,,,,,
