Entity,Year,"Poverty headcount ratio at $1.90 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))","Poverty headcount ratio at $3.10 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))","Poverty gap at $1.90 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))","Poverty gap at $3.10 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))"
Mexico,2012,2.68,,,
Mexico,2014,3.04,,,
Micronesia (country),2000,45.99,,,
Micronesia (country),2005,11.42,,,
Micronesia (country),2013,17.37,,,
Middle East & North Africa,1984,8.34,,,
Middle East & North Africa,1987,8.45,,,
Middle East & North Africa,1990,6.03,,,
Middle East & North Africa,1993,5.6,,,
Middle East & North Africa,1996,4.82,,,
Middle East & North Africa,1999,3.82,,,
Middle East & North Africa,2005,3.02,,,
Middle East & North Africa,2008,2.08,,,
Middle income,1981,53.91,,,
Middle income,1984,49.11,,,
Middle income,1987,42.91,,,
Middle income,1990,42.75,,,
Middle income,1993,40.12,,,
Middle income,1996,33.65,,,
Middle income,1999,32.6,,,
Middle income,2002,28.87,,,
Middle income,2005,22.45,,,
Middle income,2008,19.15,,,
Middle income,2010,16.12,,,
Middle income,2011,13.42,,,
Middle income,2012,12.07,,,
Middle income,2013,9.81,,,
Moldova,1988,0,,,
Moldova,1992,13.41,,,
Moldova,1997,16.07,,,
Moldova,1998,27.56,,,
Moldova,1999,39.1,,,
Moldova,2000,35.92,,,
Moldova,2001,27.56,,,
Moldova,2002,16.55,,,
Moldova,2003,7.61,,,
Moldova,2004,8.66,,,
Moldova,2005,13.95,,,
Moldova,2006,2.41,,,
Moldova,2007,1.11,,,
Moldova,2008,1.29,,,
Moldova,2009,1.03,,,
Moldova,2010,0.53,,,
Moldova,2011,0.28,,,
Moldova,2012,0.34,,,
Moldova,2013,0.08,,,
Moldova,2014,0,,,
Mongolia,1995,13.86,,,
Mongolia,1998,26.92,,,
Mongolia,2002,10.55,,,
Mongolia,2007,1.34,,,
Mongolia,2010,0.76,,,
Mongolia,2011,0.57,,,
Mongolia,2012,0.38,,,
Mongolia,2014,0.22,,,
Montenegro,2005,0.23,,,
Montenegro,2006,0.14,,,
Montenegro,2007,0.36,,,
Montenegro,2008,0.19,,,
Montenegro,2009,0,,,
Montenegro,2010,0,,,
Montenegro,2011,0.21,,,
Montenegro,2012,1.26,,,
Montenegro,2013,1.04,,,
Montenegro,2014,0,,,
Morocco,1984,11.07,,,
Morocco,1990,2.87,,,
Morocco,1998,7.52,,,
Morocco,2000,6.27,,,
Morocco,2006,3.12,,,
Mozambique,1996,85.36,,,
Mozambique,2002,80.36,,,
Mozambique,2008,68.74,,,
Namibia,1993,52.87,,,
Namibia,2003,31.46,,,
Namibia,2009,22.6,,,
Nepal,1984,74.77,,,
Nepal,1995,61.9,,,
Nepal,2003,46.12,,,
Nepal,2010,14.99,,,
Nicaragua,1993,22.06,,,
Nicaragua,1998,15.67,,,
Nicaragua,2001,20.52,,,
Nicaragua,2005,15.6,,,
Nicaragua,2009,10.83,,,
Nicaragua,2014,6.22,,,
Niger,1992,78.19,,,
Niger,1994,81.38,,,
Niger,2005,74.93,,,
Niger,2007,72.02,,,
Niger,2011,50.34,,,
Niger,2014,45.7,,,
Nigeria,1985,45.27,,,
Nigeria,1992,57.06,,,
Nigeria,1996,63.5,,,
Nigeria,2003,53.46,,,
Nigeria,2009,53.47,,,
Pakistan,1987,62.16,,,
Pakistan,1990,58.96,,,
Pakistan,1996,15.92,,,
Pakistan,1998,23.44,,,
Pakistan,2001,28.65,,,
Pakistan,2004,18.04,,,
Pakistan,2005,16.48,,,
Pakistan,2007,13.13,,,
Pakistan,2010,8.28,,,
Pakistan,2011,7.93,,,
Pakistan,2013,6.07,,,
Palestine,2004,0.28,,,
Palestine,2005,0.2,,,
Palestine,2006,0.13,,,
Palestine,2007,0.96,,,
Palestine,2009,0.11,,,
Panama,1989,23.75,,,
Panama,1991,21.87,,,
Panama,1995,16.28,,,
Panama,1997,15.01,,,
Panama,1998,15.16,,,
Panama,1999,13.39,,,
Panama,2000,14.68,,,
Panama,2001,16.42,,,
Panama,2002,11.93,,,
Panama,2003,11.57,,,
Panama,2004,10.76,,,
Panama,2005,10.3,,,
Panama,2006,10.99,,,
Panama,2007,8.11,,,
Panama,2008,5.49,,,
Panama,2009,3.37,,,
Panama,2010,4.57,,,
Panama,2011,3.98,,,
Panama,2012,4.41,,,
Panama,2013,2.86,,,
Panama,2014,3.77,,,
Papua New Guinea,1996,53.23,,,
Papua New Guinea,2009,39.31,,,
Paraguay,1990,1.19,,,
Paraguay,1995,12.4,,,
Paraguay,1997,10.55,,,
Paraguay,1999,10.21,,,
Paraguay,2001,9.07,,,
Paraguay,2002,13.31,,,
Paraguay,2003,8.97,,,
Paraguay,2004,6.59,,,
Paraguay,2005,6.95,,,
Paraguay,2006,10.06,,,
Paraguay,2007,8.51,,,
Paraguay,2008,4.97,,,
Paraguay,2009,6.44,,,
Paraguay,2010,6.07,,,
Paraguay,2011,5.47,,,
Paraguay,2012,3.71,,,
Paraguay,2013,2.19,,,
Paraguay,2014,2.77,,,
Peru,1985,16.58,,,
Peru,1994,15.78,,,
Peru,1997,17.93,,,
Peru,1998,16.74,,,
Peru,1999,17.63,,,
Peru,2000,16.7,,,
Peru,2001,17.67,,,
Peru,2002,15.32,,,
Peru,2003,12.24,,,
Peru,2004,12.22,,,
Peru,2005,14.17,,,
Peru,2006,12.39,,,
Peru,2007,10.03,,,
Peru,2008,7.94,,,
Peru,2009,6.27,,,
Peru,2010,4.74,,,
Peru,2011,4.34,,,
Peru,2012,4.13,,,
Peru,2013,3.7,,,
Peru,2014,3.13,,,
Philippines,1985,28.08,,,
Philippines,1988,25.06,,,
Philippines,1991,26.59,,,
Philippines,1994,24.99,,,
Philippines,1997,17.66,,,
Philippines,2000,18.41,,,
Philippines,2003,16.84,,,
Philippines,2006,16.45,,,
Philippines,2009,11.98,,,
Philippines,2012,13.11,,,
Poland,1985,0.16,,,
Poland,1987,0.12,,,
Poland,1989,0.09,,,
Poland,1993,0.14,,,
Poland,1996,2.57,,,
Poland,1998,0.02,,,
Poland,1999,0.06,,,
Poland,2000,0.13,,,
Poland,2001,0.08,,,
Poland,2002,0.07,,,
Poland,2003,0.05,,,
Poland,2004,0.1,,,
Poland,2005,0.14,,,
Poland,2006,0.66,,,
Poland,2007,0.03,,,
Poland,2008,0.01,,,
Poland,2009,0.02,,,
Poland,2010,0.38,,,
Poland,2011,0.02,,,
Poland,2012,0.02,,,
Poland,2013,0.01,,,
Poland,2014,0.01,,,
Romania,1989,0.3,,,
Romania,1992,0.62,,,
Romania,1994,10.72,,,
Romania,1998,2.11,,,
Romania,1999,6.46,,,
Romania,2000,7.54,,,
Romania,2001,5.45,,,
Romania,2002,5.4,,,
Romania,2003,3.87,,,
Romania,2004,2.84,,,
Romania,2005,2.15,,,
Romania,2006,2.36,,,
Romania,2008,4.94,,,
Romania,2009,3.72,,,
Romania,2010,4.78,,,
Romania,2012,6.11,,,
Romania,2013,0,,,
Russia,1988,1.37,,,
Russia,1993,2.37,,,
Russia,1996,3.6,,,
Russia,1997,1.13,,,
Russia,1998,1.7,,,
Russia,1999,3.4,,,
Russia,2000,2.25,,,
Russia,2001,1.24,,,
Russia,2002,0.7,,,
Russia,2003,1.06,,,
Russia,2004,0.89,,,
Russia,2005,0.66,,,
Russia,2006,0.54,,,
Russia,2007,0.2,,,
Russia,2008,0.07,,,
Russia,2009,0.04,,,
Russia,2010,0.15,,,
Russia,2011,0.08,,,
Russia,2012,0.04,,,
Rwanda,1984,62.46,,,
Rwanda,2000,76.97,,,
Rwanda,2005,68,,,
Rwanda,2010,60.25,,,
Rwanda,2013,60.43,,,
Saint Lucia,1995,35.83,,,
Samoa,2008,0.83,,,
Sao Tome and Principe,2000,29.84,,,
Sao Tome and Principe,2010,32.28,,,
Senegal,1991,68.43,,,
Senegal,1994,57.52,,,
Senegal,2001,49.25,,,
Senegal,2005,38.39,,,
Senegal,2011,37.98,,,
Serbia,2002,0.17,,,
Serbia,2003,0.47,,,
Serbia,2004,0.87,,,
Serbia,2005,1.08,,,
Serbia,2006,0.47,,,
Serbia,2007,0.35,,,
Serbia,2008,0.07,,,
Serbia,2009,0.12,,,
Serbia,2010,0.1,,,
Serbia,2013,0.19,,,
Seychelles,1999,0.58,,,
Seychelles,2006,0.37,,,
Seychelles,2013,1.06,,,
Sierra Leone,1989,65.49,,,
Sierra Leone,2003,58.47,,,
Sierra Leone,2011,52.33,,,
Slovakia,1988,0,,,
Slovakia,1992,0,,,
Slovakia,1996,0.52,,,
Slovakia,2004,0.08,,,
Slovakia,2005,0.28,,,
Slovakia,2006,0,,,
Slovakia,2007,0.37,,,
Slovakia,2008,0.3,,,
Slovakia,2009,0,,,
Slovakia,2010,0.42,,,
Slovakia,2011,0.36,,,
Slovakia,2012,0.24,,,
Slovenia,1987,0.02,,,
Slovenia,1993,0.05,,,
Slovenia,1998,0.02,,,
Slovenia,2002,0,,,
Slovenia,2003,0,,,
Slovenia,2004,0.07,,,
Slovenia,2005,0.1,,,
Slovenia,2006,0.06,,,
Slovenia,2007,0.03,,,
Slovenia,2008,0.01,,,
Slovenia,2009,0.01,,,
Slovenia,2010,0.01,,,
Slovenia,2011,0,,,
Slovenia,2012,0.03,,,
Solomon Islands,2005,45.6,,,
South Africa,1993,29.29,,,
South Africa,1996,33.81,,,
South Africa,2000,32.59,,,
South Africa,2006,25.44,,,
South Africa,2008,16.89,,,
South Africa,2011,16.56,,,
South Asia,1981,54.65,,,
South Asia,1984,52.26,,,
South Asia,1987,48.2,,,
South Asia,1990,44.58,,,
South Asia,1993,44.82,,,
South Asia,1996,40.25,,,
South Asia,2002,38.45,,,
South Asia,2005,33.64,,,
South Asia,2008,29.37,,,
South Asia,2010,24.58,,,
South Asia,2011,19.85,,,
South Asia,2012,17.51,,,
South Asia,2013,15.09,,,
South Sudan,2009,42.71,,,
Sri Lanka,1985,13.27,,,
Sri Lanka,1990,8.73,,,
Sri Lanka,1995,8.85,,,
Sri Lanka,2002,8.25,,,
Sri Lanka,2006,3.75,,,
Sri Lanka,2009,2.41,,,
Sri Lanka,2012,1.92,,,
Sub-Saharan Africa,1990,54.28,,,
Sub-Saharan Africa,1993,58.39,,,
Sub-Saharan Africa,1996,57.69,,,
Sub-Saharan Africa,1999,57.12,,,
Sub-Saharan Africa,2002,55.58,,,
Sub-Saharan Africa,2005,50.04,,,
Sub-Saharan Africa,2008,47.03,,,
Sub-Saharan Africa,2010,45.68,,,
Sub-Saharan Africa,2011,44.06,,,
Sub-Saharan Africa,2012,42.6,,,
Sub-Saharan Africa,2013,40.99,,,
Sudan,2009,14.92,,,
Suriname,1999,23.38,,,
Swaziland,1994,81.66,,,
Swaziland,2000,48.44,,,
Swaziland,2009,42.03,,,
Tajikistan,1999,54.37,,,
Tajikistan,2003,30.83,,,
Tajikistan,2004,15.43,,,
Tajikistan,2007,10.35,,,
Tajikistan,2009,4.74,,,
Tajikistan,2012,24.47,,,
Tajikistan,2013,22.56,,,
Tajikistan,2014,19.51,,,
Tanzania,1991,70.42,,,
Tanzania,2000,84.74,,,
Tanzania,2007,52.73,,,
Tanzania,2011,46.6,,,
Thailand,1981,19.57,,,
Thailand,1988,14.31,,,
Thailand,1990,9.37,,,
Thailand,1992,6.65,,,
Thailand,1994,3.22,,,
Thailand,1996,2.25,,,
Thailand,1998,1.5,,,
Thailand,1999,2.54,,,
Thailand,2000,2.55,,,
Thailand,2002,1.14,,,
Thailand,2004,0.75,,,
Thailand,2006,0.69,,,
Thailand,2007,0.34,,,
Thailand,2008,0.15,,,
Thailand,2009,0.17,,,
Thailand,2010,0.14,,,
Thailand,2011,0.04,,,
Thailand,2012,0.06,,,
Thailand,2013,0.04,,,
Timor,2001,44.22,,,
Timor,2007,46.76,,,
Togo,2006,55.55,,,
Togo,2011,54.18,,,
Tonga,2001,2.83,,,
Tonga,2009,1.09,,,
Trinidad and Tobago,1988,0.67,,,
Trinidad and Tobago,1992,3.41,,,
Tunisia,1985,13.93,,,
Tunisia,1990,9.82,,,
Tunisia,1995,10.86,,,
Tunisia,2000,5.32,,,
Tunisia,2005,3.09,,,
Tunisia,2010,1.99,,,
Turkey,1987,1.61,,,
Turkey,1994,2.57,,,
Turkey,2002,1.71,,,
Turkey,2003,3.74,,,
Turkey,2004,2.12,,,
Turkey,2005,2.6,,,
Turkey,2006,1.88,,,
Turkey,2007,1.43,,,
Turkey,2008,0.62,,,
Turkey,2009,0.87,,,
Turkey,2010,0.78,,,
Turkey,2011,0.28,,,
Turkey,2012,0.26,,,
Turkey,2013,0.33,,,
Turkmenistan,1988,39.4,,,
Turkmenistan,1993,80.85,,,
Turkmenistan,1998,42.26,,,
Tuvalu,2010,2.66,,,
Uganda,1989,87.11,,,
Uganda,1992,68.11,,,
Uganda,1996,59.6,,,
Uganda,1999,64.12,,,
Uganda,2002,62.21,,,
Uganda,2005,53.18,,,
Uganda,2009,41.46,,,
Uganda,2012,34.64,,,
Ukraine,1988,0.73,,,
Ukraine,1992,2.98,,,
Ukraine,1993,1.32,,,
Ukraine,1995,5.38,,,
Ukraine,1996,5.37,,,
Ukraine,1999,8.26,,,
Ukraine,2002,1.67,,,
Ukraine,2003,0.63,,,
Ukraine,2004,0.56,,,
Ukraine,2005,0.26,,,
Ukraine,2006,0.13,,,
Ukraine,2007,0.08,,,
Ukraine,2008,0.01,,,
Ukraine,2009,0.07,,,
Ukraine,2010,0,,,
Ukraine,2011,0,,,
Ukraine,2012,0,,,
Ukraine,2013,0,,,
Ukraine,2014,0.01,,,
Upper middle income,1981,56.67,,,
Upper middle income,1984,49.45,,,
Upper middle income,1987,39.82,,,
Upper middle income,1990,43.19,,,
Upper middle income,1993,37.36,,,
Upper middle income,1996,28.56,,,
Upper middle income,1999,27.69,,,
Upper middle income,2002,22.18,,,
Upper middle income,2005,13.76,,,
Upper middle income,2008,10.35,,,
Upper middle income,2010,8.21,,,
Upper middle income,2011,6.21,,,
Upper middle income,2012,5.27,,,
Upper middle income,2013,2.66,,,
Uruguay,1981,0,,,
Uruguay,1989,0.46,,,
Uruguay,1992,0.45,,,
Uruguay,1995,0.68,,,
Uruguay,1996,0.81,,,
Uruguay,1997,0.68,,,
Uruguay,1998,0.9,,,
Uruguay,2000,0.57,,,
Uruguay,2001,0.75,,,
Uruguay,2002,1.08,,,
Uruguay,2003,1.31,,,
Uruguay,2004,1.49,,,
Uruguay,2005,1.54,,,
Uruguay,2006,0.89,,,
Uruguay,2007,0.61,,,
Uruguay,2008,0.33,,,
Uruguay,2009,0.34,,,
Uruguay,2010,0.23,,,
Uruguay,2011,0.32,,,
Uruguay,2012,0.4,,,
Uruguay,2013,0.34,,,
Uruguay,2014,0.3,,,
Uzbekistan,1988,0,,,
Uzbekistan,1998,45.47,,,
Uzbekistan,2000,68.07,,,
Uzbekistan,2002,65.57,,,
Uzbekistan,2003,66.79,,,
Vanuatu,2010,15.36,,,
Venezuela,1981,1.27,,,
Venezuela,1987,0.82,,,
Venezuela,1989,7.83,,,
Venezuela,1992,4.31,,,
Venezuela,1995,8.56,,,
Venezuela,1998,11.44,,,
Venezuela,1999,10.16,,,
Venezuela,2001,9.59,,,
Venezuela,2002,16.03,,,
Venezuela,2003,20.03,,,
Venezuela,2004,17.46,,,
Venezuela,2005,17.01,,,
Venezuela,2006,9.24,,,
Vietnam,1992,49.21,,,
Vietnam,1998,34.79,,,
Vietnam,2002,38.78,,,
Vietnam,2004,27.12,,,
Vietnam,2006,22.01,,,
Vietnam,2008,16.17,,,
Vietnam,2010,4.78,,,
Vietnam,2012,3.23,,,
Vietnam,2014,3.06,,,
World,1981,42.15,,,
World,1984,39.06,,,
World,1987,34.81,,,
World,1990,35.01,,,
World,1993,33.49,,,
World,1996,28.78,,,
World,1999,28.04,,,
World,2002,25.3,,,
World,2005,20.37,,,
World,2008,17.83,,,
World,2010,15.56,,,
World,2011,13.5,,,
World,2012,12.42,,,
World,2013,10.68,,,
Zambia,1991,54.05,,,
Zambia,1993,54.54,,,
Zambia,1996,41.73,,,
Zambia,1998,42.14,,,
Zambia,2002,49.44,,,
Zambia,2004,56.69,,,
Zambia,2006,60.46,,,
Zambia,2010,64.42,,,
Zimbabwe,2011,21.4,,,
