Entity,Year,Total water withdrawal per capita,Total water withdrawal,Municipal water as share of total withdrawal,Municipal water withdrawal,Irrigation water withdrawal,Irrigation water requirement,Industrial water as share of total withdrawal,Industrial water withdrawal,Agricultural water withdrawal,Agricultural water as share of total withdrawal
Morocco,1980,477,,,,,,,,,
Morocco,1985,466.9,,,,,,,,,
Morocco,1990,426.8,,,0.543,,,,0.322,10.18,
Morocco,1995,403.1,,,,,,,,9.884,
Morocco,2000,501.8,,,3,,,,0.766,11.05,
Morocco,2010,316.2,,,1.063,,,,0.212,9.156,
Mozambique,1990,42.59,,,0.053,,,,0.012,0.54,
Mozambique,2000,45.7,,,0.1699,,,,0.0243,0.69,
Mozambique,2005,,,,0.2537,,,,0.0362,,
Mozambique,2015,52.65,,,0.372,,,,0.025,1.076,
Myanmar,1985,706.4,,,0.2772,,,,0.1188,27.86,
Myanmar,2000,682.5,,,3.323,,,,0.3323,29.57,
Myanmar,2005,,,,,,,,0.4984,,
Namibia,1985,112.3,,,,,,,,0.115,
Namibia,1990,164.5,,,0.071,,,,0.008,0.17,
Namibia,1995,155.3,,,0.071,,,,0.0105,0.1915,
Namibia,2000,147.1,,,0.073,,,,0.014,0.201,
Nepal,1995,,,,0.246,,,,0.005,,
Nepal,2000,390,,,0.2021,,,,0.0404,9.32,
Nepal,2005,364.4,,,0.1476,,,,0.0295,9.32,
Netherlands,1980,645.2,,,,,,,,,
Netherlands,1985,638.8,,,,,,,,,
Netherlands,1990,527.7,,,1.28,,,,6.519,0.184,
Netherlands,1995,416.2,,,1.267,,,,5.01,0.23,
Netherlands,2000,554.5,,,1.303,,,,7.558,0.0526,
Netherlands,2005,665.1,,,1.248,,,,9.629,0.0719,
Netherlands,2010,640,,,1.217,,,,9.446,0.0602,
New Zealand,1980,376.3,,,,,,,,,
New Zealand,1985,574,,,0.874,,,,0.19,0.836,
New Zealand,2000,792.5,,,0.62,,,,0.2,,
New Zealand,2005,1158,,,1.149,,,,0.939,2.82,
New Zealand,2010,1172,,,0.81,,,,1.184,3.207,
Nicaragua,2000,268.4,,,0.181,,,,0.027,1.18,
Nicaragua,2005,,,,,,,,0.0736,,
Nicaragua,2010,262.9,,,0.286,,,,0.0736,1.185,
Niger,1990,59.23,,,0.08,,,,0.01,0.41,
Niger,2000,,,,0.2554,,,,0.0284,,
Niger,2005,67.7,,,0.2944,,,,0.0327,0.6565,
Niger,2010,,,,0.0617,,,,0.0137,,
Nigeria,1985,63.23,,,1.125,,,,0.545,3.92,
Nigeria,2000,79.77,,,3.242,,,,1.554,5.51,
Nigeria,2005,78.63,,,4.099,,,,1.965,5.51,
Nigeria,2010,74.12,,,5,,,,1.965,5.51,
North Korea,1985,,,,1.56,,,,2.27,,
North Korea,1995,,,,,,,,,6.61,
North Korea,2000,,,,0.8576,,,,1.088,,
North Korea,2005,359.1,,,0.9028,,,,1.145,6.61,
Norway,1980,486.9,,,,,,,,,
Norway,1990,,,,0.75,,,,,,
Norway,1995,548.4,,,0.781,,,,0.909,0.73,
Norway,2000,528.8,,,0.808,,,,0.783,0.808,
Norway,2005,641.5,,,0.9482,,,,1.233,0.8449,
Norway,2010,,,,0.816,,,,1.071,,
Norway,2015,,,,0.838,,,,,,
Oman,1990,617.7,,,0.056,,,,0.019,1.148,
Oman,2000,585.4,,,0.1,,,,0.03,1.23,
Oman,2005,509.3,,,0.134,,,,0.019,1.168,
Pakistan,1975,2162,,,1.534,,,,1.534,150.3,
Pakistan,1990,1370,,,2.5,,,,2.5,150.6,
Pakistan,2000,1196,,,6.39,,,,3.47,162.7,
Pakistan,2005,,,,8,,,,,,
Pakistan,2010,1034,,,9.65,,,,1.4,172.4,
Palestine,2000,82.52,,,0.1014,,,,0.0146,0.167,
Palestine,2005,111.3,,,0.2,,,,0.029,0.189,
Panama,2000,,,,0.2067,,,,0.015,,
Panama,2005,,,,0.2629,,,,0.0191,,
Panama,2010,277,,,0.581,,,,0.01,0.446,
Papua New Guinea,1985,,,,0.029,,,,0.022,,
Papua New Guinea,2000,48.01,,,0.1545,,,,0.1159,0.001,
Papua New Guinea,2005,61.39,,,0.2235,,,,0.1676,0.001,
Paraguay,1985,110.7,,,0.0645,,,,0.0301,0.3354,
Paraguay,2000,88.95,,,0.1,,,,0.04,0.35,
Paraguay,2010,378.3,,,0.362,,,,0.154,1.897,
Peru,1990,,,,1.26,,,,,,
Peru,2010,452.9,,,1.254,,,,0.289,12.12,
Philippines,1995,,,,4.269,,,,2.296,,
Philippines,2000,,,,5.406,,,,2.907,,
Philippines,2005,886.9,,,5.848,,,,7.458,65.59,
Philippines,2010,849.4,,,6.235,,,,8.254,67.07,
Poland,1970,303.3,,,,,,,,1.681,
Poland,1975,389,,,,,,,,1.662,
Poland,1980,414.3,,,,,,,,1.323,
Poland,1985,433.4,,,,,,,,1.606,
Poland,1990,348.7,,,2.84,,,,9.18,1.37,
Poland,1995,331.8,,,2.292,,,,9.425,1.083,
Poland,2000,305,,,,,,,,1.108,
Poland,2005,312.5,,,,,,,,1.122,
Poland,2010,297.3,,,,,,,,1.102,
Portugal,1990,864.9,,,0.4,,,,3.1,5.1,
Portugal,1995,,,,,,,,,10,
Portugal,2000,1075,,,0.872,,,,1.497,8.767,
Portugal,2005,867.3,,,0.9763,,,,,,
Portugal,2010,,,,0.9105,,,,,,
Puerto Rico,1990,1174,,,0.5689,,,,3.435,0.2063,
Puerto Rico,2000,1023,,,0.7099,,,,3.041,0.1306,
Puerto Rico,2005,1113,,,0.9037,,,,3.184,0.0739,
Puerto Rico,2010,1124,,,0.9386,,,,3.15,0.0641,
Qatar,1975,822.4,,,0.035,,,,,,
Qatar,1995,539.4,,,0.0659,,,,0.0084,0.2106,
Qatar,2000,463.3,,,0.07,,,,0.0139,0.21,
Qatar,2005,376.6,,,0.174,,,,0.008,0.262,
Romania,1970,456.4,,,1.47,,,,4.72,3.4,
Romania,1975,652.1,,,2,,,,6.65,5.75,
Romania,1980,823,,,2.2,,,,9.81,6.79,
Romania,1985,879.4,,,2.67,,,,9.34,8.49,
Romania,1990,873.2,,,2.25,,,,9.06,9.1,
Romania,1995,550.5,,,2.05,,,,7.43,2.98,
Romania,2000,422,,,1.86,,,,6.17,1.192,
Romania,2005,328.1,,,,,,,,1.099,
Romania,2010,325,,,1.053,,,,4.336,1.093,
Romania,2015,328.9,,,0.98,,,,4.303,1.135,
Russia,1995,521.7,,,14.3,,,,47.5,15.3,
Russia,2000,455.9,,,13.4,,,,39.6,13.2,
Russia,2015,425.2,,,,,,,,,
Rwanda,1985,,,,0.036,,,,0.012,,
Rwanda,2000,17.57,,,0.036,,,,0.012,0.102,
Rwanda,2005,,,,0.0614,,,,0.0205,,
Saint Kitts and Nevis,1995,,,,,,,,,0.0002,
Saint Kitts and Nevis,2010,290.8,,,0.0154,,,,0,0.0002,
Saint Lucia,2005,252.1,,,0.0125,,,,0,0.0304,
Saint Vincent and the Grenadines,1990,,,,,,,,,0.0101,
Saint Vincent and the Grenadines,1995,92.59,,,,,,,,,
Saint Vincent and the Grenadines,2015,77.63,,,0.0085,,,,0.000002,0,
Sao Tome and Principe,1995,53.8,,,,,,,,,
Saudi Arabia,1990,978.2,,,1.517,,,,0.193,15.31,
Saudi Arabia,2000,,,,2.277,,,,0.2897,,
Saudi Arabia,2005,907.5,,,2.13,,,,0.71,20.83,
Senegal,1985,198.6,,,0.068,,,,0.041,1.251,
Senegal,2000,213.8,,,0.098,,,,0.058,2.065,
Serbia,2005,433.5,,,,,,,,0.1282,
Serbia,2010,430.7,,,,,,,,0.0974,
Serbia,2015,468.9,,,,,,,,0.1167,
Seychelles,1990,163.7,,,0.0099,,,,0.0011,0.0009,
Seychelles,2000,,,,0.0108,,,,0.0012,,
Seychelles,2005,150.8,,,0.009,,,,0.0038,0.0009,
Sierra Leone,1985,100.5,,,0.026,,,,0.015,0.329,
Sierra Leone,1990,,,,,,,,,0.0457,
Sierra Leone,2000,42.72,,,0.0955,,,,0.0477,0.0457,
Sierra Leone,2005,39.36,,,0.111,,,,0.0555,0.0457,
Singapore,1975,81.97,,,0.0855,,,,0.0969,0.0076,
Singapore,2000,,,,0.8771,,,,0.994,,
Singapore,2005,,,,1.078,,,,1.221,,
Slovakia,1995,243.6,,,0.482,,,,0.761,0.067,
Slovakia,2000,203.2,,,0.4159,,,,0.6225,0.056,
Slovakia,2005,127.6,,,0.3585,,,,0.307,0.0225,
Slovakia,2010,122.8,,,0.3058,,,,0.3288,0.0307,
Slovakia,2015,103.1,,,,,,,,0.0229,
Slovenia,1990,,,,0.2593,,,,,0.0037,
Slovenia,1995,,,,0.2536,,,,,0.0048,
Slovenia,2000,452.3,,,0.1871,,,,0.7055,0.0066,
Slovenia,2005,463.5,,,0.1674,,,,0.7629,0.0046,
Slovenia,2010,449.9,,,0.1617,,,,0.7641,0.0023,
Slovenia,2015,559,,,0.164,,,,0.988,0.0036,
Somalia,1985,131.9,,,0.024,,,,0,0.786,
Somalia,2000,420.3,,,0.01,,,,0,3.28,
Somalia,2005,370.2,,,0.015,,,,0.002,3.281,
South Africa,1990,344.4,,,2.281,,,,1.448,9.58,
South Africa,1995,300.5,,,3.092,,,,1.102,8.708,
South Africa,2000,276.4,,,3.904,,,,1.052,7.836,
South Africa,2005,,,,,,,,0.9475,,
South Africa,2015,284.5,,,4.185,,,,1.625,9.69,
South Korea,1975,,,,2.27,,,,,,
South Korea,1990,470.6,,,4.47,,,,2,14.1,
South Korea,1995,561.8,,,6.87,,,,3.28,15.29,
South Korea,2000,623.5,,,8.613,,,,4.45,16.1,
South Korea,2005,605.7,,,6.924,,,,,15.96,
South Sudan,2010,59.92,,,0.193,,,,0.225,0.24,
Spain,1975,983.5,,,,,,,,,
Spain,1980,1045,,,,,,,,,
Spain,1985,1177,,,5.502,,,,11.92,28.43,
Spain,1990,936.6,,,6.8,,,,6.4,23.7,
Spain,1995,865.1,,,4.509,,,,6.68,23.41,
Spain,2000,859.5,,,5.448,,,,7.447,23.04,
Spain,2005,786.8,,,5.898,,,,6.495,23.18,
Spain,2010,800.9,,,5.308,,,,6.572,25.47,
Sri Lanka,1990,550.6,,,0.195,,,,0.195,9.379,
Sri Lanka,2000,682.5,,,0.497,,,,0.5136,12,
Sri Lanka,2005,653.6,,,0.805,,,,0.831,11.31,
Sudan,2010,714.1,,,0.95,,,,0.075,25.91,
Suriname,1985,1198,,,0.028,,,,0.022,0.41,
Suriname,2000,1378,,,0.03,,,,0.02,0.62,
Suriname,2005,1229,,,0.0493,,,,0.1355,0.4311,
Swaziland,1980,1028,,,0.011,,,,0.016,0.63,
Swaziland,2000,963,,,0.024,,,,0.012,1.006,
Swaziland,2005,,,,0.0413,,,,0.0207,,
Sweden,1970,501.5,,,0.981,,,,2.96,0.132,
Sweden,1975,501.5,,,1.038,,,,2.96,0.137,
Sweden,1980,493.3,,,1.006,,,,2.96,0.14,
Sweden,1985,353,,,,,,,,,
Sweden,1990,342.6,,,1.016,,,,1.783,0.174,
Sweden,1995,306,,,1.052,,,,1.509,0.15,
Sweden,2000,300.3,,,1.038,,,,1.503,0.135,
Sweden,2005,287.3,,,1,,,,1.523,0.107,
Sweden,2010,281.8,,,1.019,,,,1.572,0.098,
Switzerland,1970,,,,1.14,,,,,,
Switzerland,1975,409.7,,,1.129,,,,,,
Switzerland,1980,408.3,,,1.103,,,,,,
Switzerland,1985,405.1,,,1.143,,,,,,
Switzerland,1990,395.5,,,1.192,,,,,,
Switzerland,1995,360.9,,,1.056,,,,,,
Switzerland,2000,347.7,,,1.069,,,,,0.05,
Switzerland,2005,,,,0.981,,,,,,
Switzerland,2010,249.9,,,1.202,,,,0.6427,0.1601,
Switzerland,2015,,,,0.917,,,,,,
Syria,1975,413,,,,,,,,,
Syria,1995,952.3,,,1.169,,,,0.418,12.84,
Syria,2000,962.5,,,1.38,,,,0.569,14.41,
Syria,2005,862.8,,,1.475,,,,0.6154,14.67,
Tajikistan,1995,1999,,,0.412,,,,0.501,10.96,
Tajikistan,2000,1867,,,0.44,,,,0.56,10.96,
Tajikistan,2005,1619,,,0.647,,,,0.4078,10.44,
Tanzania,1970,,,,0.101,,,,0.024,,
Tanzania,1995,,,,,,,,,1.04,
Tanzania,2000,144.6,,,0.527,,,,0.025,4.632,
Thailand,1980,,,,0.898,,,,1.123,,
Thailand,1985,,,,1.262,,,,1.297,,
Thailand,1990,,,,1.496,,,,1.436,,
Thailand,2005,863.7,,,2.739,,,,2.777,51.79,
Timor,2000,,,,0.0107,,,,0.0044,,
Timor,2005,1148,,,0.099,,,,0.002,1.071,
Togo,1985,26.21,,,0.056,,,,0.012,0.023,
Togo,2000,32.87,,,0.089,,,,0.004,0.076,
Togo,2005,,,,0.1407,,,,0.0063,,
Trinidad and Tobago,1995,235.5,,,0.1876,,,,0.0938,0.0156,
Trinidad and Tobago,2000,245.7,,,0.198,,,,0.099,0.017,
Trinidad and Tobago,2005,263.6,,,0.214,,,,0.116,0.015,
Trinidad and Tobago,2010,285.5,,,0.2376,,,,0.1289,0.0167,
Tunisia,1975,180.9,,,,,,,,,
Tunisia,1980,282.2,,,,,,,,,
Tunisia,1985,299,,,,,,,,,
Tunisia,1990,357.4,,,0.261,,,,0.086,2.728,
Tunisia,1995,304.5,,,0.313,,,,0.098,2.446,
Tunisia,2000,288.9,,,0.365,,,,0.11,2.165,
Tunisia,2010,303.7,,,0.496,,,,0.165,2.644,
Turkey,1990,566.2,,,5.2,,,,3.5,22.9,
Turkey,2000,644.9,,,6.4,,,,4.1,31.5,
Turkey,2005,576.9,,,6.2,,,,4.3,29.6,
Turkey,2010,561.3,,,,,,,,34,
Turkmenistan,1995,5484,,,0.349,,,,0.139,23.29,
Turkmenistan,2000,5415,,,0.597,,,,0.2701,24.04,
Turkmenistan,2005,5753,,,0.755,,,,0.839,26.36,
Uganda,1970,20.02,,,0.064,,,,0.016,0.12,
Uganda,2000,12.52,,,0.1514,,,,0.046,0.12,
Uganda,2010,17.99,,,0.328,,,,0.05,0.259,
Ukraine,1990,506.7,,,4.637,,,,13.5,7.865,
Ukraine,2000,381.7,,,3.311,,,,9.486,5.485,
Ukraine,2005,326.1,,,3.318,,,,7.24,4.525,
Ukraine,2010,327.7,,,3.266,,,,7.126,4.454,
United Arab Emirates,1980,777.2,,,0.099,,,,0.081,0.72,
United Arab Emirates,1995,812.3,,,0.5,,,,0.2,1.408,
United Arab Emirates,2000,855.6,,,0.5138,,,,0.1113,2.279,
United Arab Emirates,2005,665.2,,,0.617,,,,0.069,3.312,
United Kingdom,1980,240.2,,,6.975,,,,,,
United Kingdom,1985,203.5,,,7.143,,,,,,
United Kingdom,1990,209.9,,,,,,,,0.6681,
United Kingdom,1995,208,,,,,,,,1.723,
United Kingdom,2000,266.6,,,7.312,,,,7.19,1.308,
United Kingdom,2005,139.2,,,5.99,,,,1.193,1.33,
United Kingdom,2010,129.2,,,5.866,,,,,1.049,
United States,1970,,,,,,,,,100.1,
United States,1975,,,,,,,,,106.5,
United States,1980,2213,,,,,,,,117.1,
United States,1990,2169,,,60.67,,,,303.9,194.7,
United States,2000,1939,,,64,,,,298.8,196.5,
United States,2005,1864,,,65.44,,,,305.1,191.9,
United States,2010,1543,,,62.09,,,,248.4,175.1,
Uruguay,1965,236.4,,,0.039,,,,0.0195,0.5915,
Uruguay,2000,1100,,,0.41,,,,0.08,3.17,
Uzbekistan,1995,2473,,,2.582,,,,1.103,54.37,
Uzbekistan,2000,2415,,,3.45,,,,2.35,54.78,
Uzbekistan,2005,2106,,,4.1,,,,1.5,50.4,
Venezuela,1970,333.7,,,1.763,,,,0.451,1.886,
Venezuela,2000,356.9,,,4.411,,,,0.6831,3.97,
Venezuela,2005,817.8,,,5.123,,,,0.7933,16.71,
Venezuela,2010,,,,,,,,,16.71,
Vietnam,1980,665,,,1.32,,,,1.5,35.04,
Vietnam,1985,708.7,,,1.75,,,,2.87,40.65,
Vietnam,1990,,,,,,,,,47,
Vietnam,2000,,,,1.051,,,,3.263,,
Vietnam,2005,956.4,,,1.206,,,,3.074,77.75,
Yemen,1990,221.4,,,0.201,,,,0.031,2.7,
Yemen,2000,180.5,,,0.272,,,,0.068,3.06,
Yemen,2005,164.3,,,0.265,,,,0.065,3.235,
Zambia,1990,203.7,,,0.301,,,,0.107,1.339,
Zambia,1995,174.7,,,0.27,,,,0.118,1.318,
Zambia,2000,141.1,,,0.29,,,,0.13,1.152,
Zimbabwe,1985,,,,,,,,0.085,0.964,
Zimbabwe,2000,,,,,,,,0.298,3.318,
Zimbabwe,2005,,,,,,,,0.215,2.93,
